Registro_Ensina,Adaptação e Inovação,Capacidade de Execução,Colaboração e Parceria,Comunicação Empática e Mobilizadora,Desenvolvimento Contínuo,Visão Estratégica e Resolução de Problemas
240.216,2%,37%,15%,85%,77%,6%
240.003,85%,89%,77%,55%,68%,72%
240.062,23%,69%,71%,29%,34%,66%
240.202,24%,80%,54%,58%,81%,27%
240.093,100%,98%,100%,100%,97%,94%
250.156,27%,15%,84%,59%,46%,77%
240.191,72%,70%,72%,82%,63%,81%
250.145,44%,6%,56%,3%,55%,19%
240.091,52%,19%,59%,30%,81%,26%
240.163,15%,44%,30%,38%,22%,15%
240.039,92%,80%,93%,91%,98%,75%
240.178,27%,94%,89%,52%,99%,6%
240.085,51%,86%,36%,50%,68%,17%
240.046,59%,46%,71%,68%,74%,16%
250.079,81%,26%,30%,63%,29%,30%
240.054,2%,4%,42%,57%,34%,17%
240.195,83%,40%,4%,75%,3%,63%
250.031,87%,90%,90%,95%,36%,32%
250.163,77%,52%,65%,93%,97%,35%
240.024,26%,84%,78%,89%,90%,81%
250.112,80%,100%,36%,2%,22%,68%
250.083,68%,98%,97%,70%,78%,86%
250.041,39%,21%,63%,76%,17%,42%
240.059,61%,75%,31%,21%,29%,23%
240.151,90%,92%,62%,52%,97%,98%
240.193,71%,51%,18%,6%,15%,59%
250.052,45%,3%,20%,59%,3%,4%
240.097,54%,75%,57%,66%,49%,57%
250.096,62%,21%,4%,9%,15%,54%
240.036,88%,75%,90%,88%,88%,23%
250.076,79%,55%,26%,15%,49%,31%
240.166,25%,84%,51%,20%,22%,52%
240.204,62%,26%,94%,92%,22%,56%
240.115,14%,62%,48%,21%,22%,26%
240.150,65%,79%,42%,3%,68%,97%
240.072,59%,80%,93%,41%,43%,49%
250.146,30%,26%,85%,90%,78%,85%
250.159,22%,95%,50%,86%,59%,93%
240.200,70%,26%,79%,72%,94%,74%
250.050,57%,69%,97%,99%,68%,100%
250.138,29%,65%,13%,26%,17%,7%
250.142,45%,6%,56%,30%,49%,54%
240.188,24%,55%,89%,21%,74%,9%
250.125,12%,46%,74%,3%,36%,21%
240.209,84%,26%,59%,21%,29%,40%
250.166,82%,60%,40%,58%,36%,32%
250.099,8%,65%,6%,9%,49%,91%
240.201,74%,21%,8%,55%,9%,82%
240.186,59%,21%,22%,70%,59%,90%
240.029,8%,80%,88%,47%,90%,7%
