ID_Colaborador,Adaptação e Inovação_Auto,Capacidade de Execução_Auto,Colaboração e Parceria_Auto,Comunicação Empática_Auto,Desenvolvimento Contínuo_Auto,Visão Estratégica_Auto,Desenvolvimento Contínuo_Terc,Visão Estratégica_Terc,Colaboração e Parceria_Terc,Adaptação e Inovação_Terc,Capacidade de Execução_Terc,Comunicação Empática_Terc,Ano,Filial,Raça,Gênero,Grau Acadêmico
240.216,0.02,0.37,0.15,0.85,0.77,0.06,0.84,0.84,0.72,0.84,0.84,0.84,2024,Vitória,Preta,Mulher Cisgênero,Bacharelado
240.003,0.85,0.89,0.77,0.55,0.68,0.72,0.78,0.81,0.66,0.75,0.75,0.78,2024,Petrolina,Preta,Não Binária ou Não Binário,Bacharelado
240.062,0.23,0.69,0.71,0.29,0.34,0.66,0.31,0.62,0.38,0.6,0.81,0.56,2024,Vitória,Branca,Não Binária ou Não Binário,Bacharelado
240.202,0.24,0.8,0.54,0.58,0.81,0.27,0.97,1.0,0.75,1.0,1.0,1.0,2024,Vitória,Preta,Mulher Cisgênero,Bacharelado e Licenciatura
240.093,1.0,0.98,1.0,1.0,0.97,0.94,0.54,0.53,0.52,0.41,0.38,0.62,2024,Vitória,Branca,Homem Cisgênero,Licenciatura
250.156,0.27,0.15,0.84,0.59,0.46,0.77,0.84,0.62,0.9,0.75,0.72,0.66,2025,Petrolina,Preta,Mulher Cisgênero,Bacharelado
250.145,0.44,0.06,0.56,0.03,0.55,0.19,0.68,0.72,0.66,0.59,0.66,0.62,2025,Petrolina,Parda,Homem Cisgênero,Bacharelado
240.091,0.52,0.19,0.59,0.3,0.81,0.26,0.66,0.66,0.66,0.78,0.72,0.68,2024,Petrolina,Parda,Mulher Cisgênero,Licenciatura
240.163,0.15,0.44,0.3,0.38,0.22,0.15,0.68,0.81,0.72,0.62,0.75,0.81,2024,Caruaru,Branca,Mulher Cisgênero,Bacharelado
240.039,0.92,0.8,0.93,0.91,0.98,0.75,0.46,0.47,0.46,0.56,0.53,0.6,2024,Vitória,Parda,Mulher Cisgênero,Bacharelado
240.085,0.51,0.86,0.36,0.5,0.68,0.17,0.84,0.97,0.81,0.9,1.0,0.97,2024,Campo Grande,Branca,Mulher Cisgênero,Licenciatura
240.046,0.59,0.46,0.71,0.68,0.74,0.16,0.53,0.56,0.64,0.53,0.72,0.62,2024,Caruaru,Parda,Mulher Cisgênero,Licenciatura
250.079,0.81,0.26,0.3,0.63,0.29,0.3,0.81,0.88,0.8,0.84,0.82,0.88,2025,Caruaru,Parda,Mulher Cisgênero,Licenciatura
