Registro_Ensina,Turma_Ensina,Polo_Ensina,Raça_Ensina,Gênero_Ensina,Grau Acadêmico_Ensina,Função_Avaliador(a),Escola_Avaliador,Desenvolvimento Contínuo_Devolutiva,Desenvolvimento Contínuo_Diálogo,Desenvolvimento Contínuo_Compartilha,Desenvolvimento Contínuo_Referência,Visão Estratégica_Resultados,Visão Estratégica_Ajustar,Visão Estratégica_Coerência,Visão Estratégica_Conectar,Colaboração e Parceria_Abertura,Colaboração e Parceria_Engaja,Colaboração e Parceria_Ajuda,Colaboração e Parceria_Parceria,Adaptação e Inovação_Inovação,Adaptação e Inovação_Metodologia,Adaptação e Inovação_Revê,Adaptação e Inovação_Planejamento,Capacidade de Execução_Constância,Capacidade de Execução_Concreta,Capacidade de Execução_Padrões,Capacidade de Execução_Planos,Comunicação Empática_Expectativa,Comunicação Empática_Conflitos,Comunicação Empática_Sensibilidade,Comunicação Empática_Diálogo
240.003,2.024,Petrolina,Preta,Não Binária ou Não Binário,Bacharelado,Diretor(a),Escola Municipal Nossa Senhora Rainha dos Anjos - CAIC,4,4,4,4,4,4,4,4,3,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4
240.003,2.024,Petrolina,Preta,Não Binária ou Não Binário,Bacharelado,2_Consultor(a) pedagógico(a),Escola Municipal Nossa Senhora Rainha dos Anjos - CAIC,2,2,3,2,3,2,3,2,2,2,2,2,1,2,3,2,3,1,2,2,3,2,2,2
240.004,2.024,Vitória,Sem Informação,Homem Cisgênero,Licenciatura,Coordenador(a) Pedagógico(a),EMEF Maria José Costa Moraes,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
240.004,2.024,Vitória,Sem Informação,Homem Cisgênero,Licenciatura,1_Consultor(a) pedagógico(a),EMEF Maria José Costa Moraes,4,3,2,2,4,4,4,4,2,2,3,3,4,4,4,4,4,3,4,4,4,4,4,4
240.005,2.024,Cuiabá,Preta,Homem Cisgênero,Bacharelado,Coordenador(a) Pedagógico(a),EE José de Mesquita,4,4,4,4,4,4,4,4,4,4,4,,4,4,4,4,4,4,4,4,4,4,4,4
240.005,2.024,Cuiabá,Preta,Homem Cisgênero,Bacharelado,3_Consultor(a) pedagógico(a),EE José de Mesquita,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,4,4,4,4,4
240.006,2.024,Caruaru,Parda,Homem Cisgênero,Licenciatura,Diretor(a),ETI Irmã Ceciliana Gross,4,4,2,3,4,3,4,4,4,4,3,,4,4,4,4,4,4,4,,4,3,3,4
240.006,2.024,Caruaru,Parda,Homem Cisgênero,Licenciatura,10_Consultor(a) pedagógico(a),ETI Irmã Ceciliana Gross,4,2,2,2,3,2,3,4,4,3,2,,3,3,4,3,4,4,3,3,3,4,3,3
250.006,2.025,Cuiabá,Parda,Homem Cisgênero,Bacharelado,Coordenador(a) de Área,EE Prof. Rafael Rueda,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
250.006,2.025,Cuiabá,Parda,Homem Cisgênero,Bacharelado,8_Consultor(a) pedagógico(a),EE Prof. Rafael Rueda,4,3,4,4,4,4,4,4,3,4,4,4,4,4,3,3,3,3,3,3,4,4,4,4
